ID,youtubeId,movieId,title,Adventure,Animation,Children,Comedy,Fantasy,Romance,Drama,Action,Crime,Thriller,Horror,Mystery,Sci-Fi,Documentary,War,Musical,Western,Film-Noir
51,-qz_zB2Pc2g,52,Mighty Aphrodite (1995),0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
52,3Fd6ZlgOFqs,53,Lamerica (1994),1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
53,K4MltltKq4k,54,"Big Green, The (1995)",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,jG9pUsmjAO8,55,Georgia (1995),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
55,moJMVGICPc4,56,Kids of the Round Table (1995),1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
56,ThH8WocPRM0,57,Home for the Holidays (1995),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
57,0or7hSz-7gc,58,"Postman, The (Postino, Il) (1994)",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
58,mRX2-vM4eYQ,59,"Confessional, The (Confessionnal, Le) (1995)",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
59,yoIBXVm_B9Y,60,"Indian in the Cupboard, The (1995)",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
60,jY56N6irNCk,61,Eye for an Eye (1996),0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
61,JYoWGIrXiz0,62,Mr. Holland's Opus (1995),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
62,JAAhQwcJ20U,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
63,Psql1jhaIiA,64,Two if by Sea (1996),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
64,9J6qOSUJXy0,65,Bio-Dome (1996),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,MubmJ2jwvOM,66,Lawnmower Man 2: Beyond Cyberspace (1996),0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
66,z7oSfRVevzU,67,Two Bits (1995),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
67,Qd_88LUuHGU,68,French Twist (Gazon maudit) (1995),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
68,dxduMVVnrvU,69,Friday (1995),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,9gQuxMD5jzU,70,From Dusk Till Dawn (1996),0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0
70,YC3npzqwXcs,71,Fair Game (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
71,c_Q1WwePBNI,72,Kicking and Screaming (1995),0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72,hck5I4F1OgU,73,"Misérables, Les (1995)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
73,GJ6-ymSjShg,74,Bed of Roses (1996),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
74,rZU6xGcShw8,75,Big Bully (1996),0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
75,1AeAvE3FxQ8,76,Screamers (1995),0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
76,xjPZbigB4NA,77,Nico Icon (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
77,kDdwRURSEzI,78,"Crossing Guard, The (1995)",0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
78,Awng-jZnkoY,79,"Juror, The (1996)",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
79,jL4l_tyPC0Y,80,"White Balloon, The (Badkonake sefid) (1995)",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
80,i1o_PO3ridY,81,Things to Do in Denver When You're Dead (1995),0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
81,qiAyu1qKkfE,82,Antonia's Line (Antonia) (1995),0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
82,UwkAOHd8WRU,83,Once Upon a Time... When We Were Colored (1995),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
83,FmYKCjilWAs,84,Last Summer in the Hamptons (1995),0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
84,bdqnz-FtIog,85,Angels and Insects (1995),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
85,69ZoLvE9SpQ,86,White Squall (1996),1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
86,FjPueQfeQLs,87,Dunston Checks In (1996),0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,BRgCb1QjOv4,88,Black Sheep (1996),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,o6trRzB8fiA,89,Nick of Time (1995),0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
89,PQJW7o37XJo,90,"Journey of August King, The (1995)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
90,qgHHBYzgL-s,92,Mary Reilly (1996),0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
91,HBel3A1-f2c,93,Vampire in Brooklyn (1995),0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
92,0AvkCamSj5o,94,Beautiful Girls (1996),0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
93,De29KipeZQw,95,Broken Arrow (1996),1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
94,vBS92ui_h74,96,In the Bleak Midwinter (1995),0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
95,M2Wl4li8TFo,97,"Hate (Haine, La) (1995)",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
96,cR1Zvw5MmLs,98,Shopping (1994),0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
97,oA7M9qSJKrE,99,Heidi Fleiss: Hollywood Madam (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
98,OlCO01s1upA,100,City Hall (1996),0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
99,hspUSez-rYY,101,Bottle Rocket (1996),1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
100,vUn8MuKaOxQ,102,Mr. Wrong (1996),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,ppsp24yW7ac,103,Unforgettable (1996),0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
102,y1emDAYCfVQ,104,Happy Gilmore (1996),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Up-oN4NtvbM,105,"Bridges of Madison County, The (1995)",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
104,Rb6vdGA8Iy8,106,Nobody Loves Me (Keiner liebt mich) (1994),0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
105,KLUdKoCganU,107,Muppet Treasure Island (1996),1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
106,foBVdhrrOJ8,108,Catwalk (1996),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
107,ZMTOFv3-hic,109,Headless Body in Topless Bar (1995),0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
108,1cnoM8EiGGU,110,Braveheart (1995),0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
109,cujiHDeqnHY,111,Taxi Driver (1976),0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
110,q7vg8uGzLts,112,Rumble in the Bronx (Hont faan kui) (1995),1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
111,KRrUiYxr5dc,113,Before and After (1996),0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
112,S82xxKIURF4,114,Margaret's Museum (1995),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
113,-sMoiy690LE,115,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,HFMnh-n7U7w,116,Anne Frank Remembered (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
115,Xw6F07ChJzQ,117,"Young Poisoner's Handbook, The (1995)",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
116,TNTV9Txit-Q,118,If Lucy Fell (1996),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
117,9uBpp-qIIp8,119,"Steal Big, Steal Little (1995)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,w7idtZ4tsN8,120,Race the Sun (1996),1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
119,VsRIJqOXH-U,121,"Boys of St. Vincent, The (1992)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
120,Sr60MOJ_fhc,122,Boomerang (1992),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
121,ZkyRcGGeq8E,123,Chungking Express (Chung Hing sam lam) (1994),0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
122,TvxLosSHUvI,124,"Star Maker, The (Uomo delle stelle, L') (1995)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
123,b0nE4KWZ4Io,125,Flirting With Disaster (1996),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,hgs5CgnBJFs,126,"NeverEnding Story III, The (1994)",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
125,2Vmtb6B6nTs,127,"Silences of the Palace, The (Saimt el Qusur) (1994)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
126,1P8JYwOhWoc,128,Jupiter's Wife (1994),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
127,_d7KNUnJF4o,129,Pie in the Sky (1996),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
128,cooYPruKl78,130,Angela (1995),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
129,2vrYABGERJw,131,Frankie Starlight (1995),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
130,x_aXAlSl02U,132,Jade (1995),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
131,FoIulZLn_uY,133,Nueba Yol (1995),0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
132,5zI1PtnNXOs,134,Sonic Outlaws (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
133,pjyjP5h6PjI,135,Down Periscope (1996),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,qiBfZs6P6OA,136,From the Journals of Jean Seberg (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
135,uau-JNTHON8,137,Man of the Year (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
136,nKldiFbwf4w,138,"Neon Bible, The (1995)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
137,KbjTJRZkt5Q,139,Target (1995),0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
138,RiRUHeUhM3U,140,Up Close and Personal (1996),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
139,83kTQ6chG4o,141,"Birdcage, The (1996)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,l25067DO9mo,142,Shadows (Cienie) (1988),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
141,wyBB6G6pWC8,143,Gospa (1995),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
142,QEFxzbRLOmg,144,"Brothers McMullen, The (1995)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,ZYxO2ODedhA,145,Bad Boys (1995),0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
144,Uwnm9QAwhzE,146,"Amazing Panda Adventure, The (1995)",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,W5eVnwe6Pxs,147,"Basketball Diaries, The (1995)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
146,HPBkA3GuvcY,148,"Awfully Big Adventure, An (1995)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
147,GLhu37ozFx8,149,Amateur (1994),0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
148,e3ZtOS4MCkk,150,Apollo 13 (1995),1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
149,w0-2kzujLA8,151,Rob Roy (1995),0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0
150,0wgIIsXz-Vk,152,"Addiction, The (1995)",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
151,b_KllgySsPo,153,Batman Forever (1995),1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
152,1nN7TYFuLy4,154,Beauty of the Day (Belle de jour) (1967),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
153,0WhJt46AhFk,155,Beyond Rangoon (1995),1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
154,72ue1Jqy01E,156,Blue in the Face (1995),0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
155,ayOlQ9If_cA,157,Canadian Bacon (1995),0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
156,BBEB9OSfeCA,158,Casper (1995),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,YsFUoioGePc,159,Clockers (1995),0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
158,icu59hembVk,160,Congo (1995),1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
159,cc0Az3IJFOU,161,Crimson Tide (1995),0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
160,qXVX24JoOB8,162,Crumb (1994),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
161,MdZaOB03b1U,163,Desperado (1995),0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
162,50EVm04iPLk,164,Devil in a Blue Dress (1995),0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
163,gcsk7C7FfQM,165,Die Hard: With a Vengeance (1995),0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
164,wWTm1mQlnfg,166,"Doom Generation, The (1995)",0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
165,8n2AQuAUSEQ,167,Feast of July (1995),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
166,xUnz3llwIjE,168,First Knight (1995),0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
167,qqOPd5jKYG4,169,Free Willy 2: The Adventure Home (1995),1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
168,Ql1uLyuWra8,170,Hackers (1995),1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
169,dhOHvdiLaDI,171,Jeffrey (1995),0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
170,U_8BVWHSU_o,172,Johnny Mnemonic (1995),0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
171,43-BefmjMFg,173,Judge Dredd (1995),0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
172,bdKOtQlUS6s,174,Jury Duty (1995),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,U9a5tZSKDOU,175,Kids (1995),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
174,OaTEaKhXfzM,176,Living in Oblivion (1995),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,YyJvOuxZDHY,177,Lord of Illusions (1995),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
176,_1cjHboN8Mw,178,Love & Human Remains (1993),0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
177,BzJaAn20O_g,179,Mad Love (1995),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
178,_eVo7aBze1w,180,Mallrats (1995),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
179,yVJYRsCIzWE,181,Mighty Morphin Power Rangers: The Movie (1995),0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
180,EP2jMPtwKKg,182,Moonlight and Valentino (1995),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
181,Ss5Hw3uiArs,183,Mute Witness (1994),0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
182,3L5f9EXKE5I,184,Nadja (1994),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
183,46qKHq7REI4,185,"Net, The (1995)",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
184,dVmOU8HPf_E,186,Nine Months (1995),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
185,ztJuuYFnD1k,187,Party Girl (1995),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,-ynKNaSkih4,188,"Prophecy, The (1995)",0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
187,uUg76lizbSA,189,Reckless (1995),0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
188,63NPIiCl3zo,190,Safe (1995),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
189,NlUetVd4rsw,191,"Scarlet Letter, The (1995)",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
190,2UHm2ASOpXA,192,"Show, The (1995)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
191,gszDLDFwcLk,193,Showgirls (1995),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
192,uem9TbvQpFk,194,Smoke (1995),0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
193,yxbLkx8A1WI,195,Something to Talk About (1995),0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
194,I8mWmRSVrbM,196,Species (1995),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
195,W__mIvuAiSc,197,"Stars Fell on Henrietta, The (1995)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
196,5yaXPx6xWEQ,198,Strange Days (1995),0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0
197,Cb5iVFq7qlQ,199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
198,4eR7bo9Ertk,200,"Tie That Binds, The (1995)",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
199,hQR4_rT0qB4,201,Three Wishes (1995),0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
200,8eZpsPixVuU,202,Total Eclipse (1995),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
201,YEcfZNdleCY,203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,OhPOPHR67-U,204,Under Siege 2: Dark Territory (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
203,fPjFjAWYTLc,205,Unstrung Heroes (1995),0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
204,irIUyh38WFw,206,Unzipped (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
205,cULvtpaIK9I,207,"Walk in the Clouds, A (1995)",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
206,oEp382HIisE,208,Waterworld (1995),1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
207,37U_vQOKooE,209,White Man's Burden (1995),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
208,chceChQAVjI,210,Wild Bill (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
209,fSqvtspQonw,211,"Browning Version, The (1994)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
210,Jq2ofg3bB_g,212,Bushwhacked (1995),1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
211,1gPzpr08hFk,213,Burnt by the Sun (Utomlyonnye solntsem) (1994),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
212,wHBQ4VsQaic,214,Before the Rain (Pred dozhdot) (1994),0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
213,jGvcbSabADM,215,Before Sunrise (1995),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
