,youtubeId,movieId,title,Adventure,Animation,Children,Comedy,Fantasy,Romance,Drama,Action,Crime,Thriller,Horror,Mystery,Sci-Fi,Documentary,War,Musical,Western,Film-Noir
86,FjPueQfeQLs,87,Dunston Checks In (1996),0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,M2Wl4li8TFo,97,"Hate (Haine, La) (1995)",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
106,foBVdhrrOJ8,108,Catwalk (1996),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
114,HFMnh-n7U7w,116,Anne Frank Remembered (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
116,TNTV9Txit-Q,118,If Lucy Fell (1996),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
120,Sr60MOJ_fhc,122,Boomerang (1992),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
124,hgs5CgnBJFs,126,"NeverEnding Story III, The (1994)",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
127,_d7KNUnJF4o,129,Pie in the Sky (1996),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
130,x_aXAlSl02U,132,Jade (1995),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
135,uau-JNTHON8,137,Man of the Year (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
153,0WhJt46AhFk,155,Beyond Rangoon (1995),1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
155,ayOlQ9If_cA,157,Canadian Bacon (1995),0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
156,BBEB9OSfeCA,158,Casper (1995),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,_eVo7aBze1w,180,Mallrats (1995),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
186,-ynKNaSkih4,188,"Prophecy, The (1995)",0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
188,63NPIiCl3zo,190,Safe (1995),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
194,I8mWmRSVrbM,196,Species (1995),0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
198,4eR7bo9Ertk,200,"Tie That Binds, The (1995)",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
208,chceChQAVjI,210,Wild Bill (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
218,zj-HQUCgZww,220,Castle Freak (1995),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
219,6MANr3__teY,222,Circle of Friends (1995),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
223,bpiMKiI1PUM,226,Dream Man (1995),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
228,tNLb4t9xgNM,231,Dumb & Dumber (Dumb and Dumber) (1994),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,G8ZHyJoKYnM,237,Forget Paris (1995),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
235,fHbI2fohgeI,238,Far From Home: The Adventures of Yellow Dog (1995),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,1jmKLl95NZ8,240,Hideaway (1995),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
239,iGhlievFg24,242,Farinelli: il castrato (1994),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
241,Jyrok5zJ1kg,244,Gumby: The Movie (1995),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,AglLHi4_0MM,246,Hoop Dreams (1994),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
247,AHXmxeu0avQ,250,Heavyweights (Heavy Weights) (1995),0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,AzwMZVRxTE0,252,I.Q. (1994),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
254,tZlr2PbTiow,257,Just Cause (1995),0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
255,yLtmLy1Vzkc,258,"Kid in King Arthur's Court, A (1995)",1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
283,2IfHLq0k6Q8,286,Nemesis 2: Nebula (1995),0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
287,cWeLiFAycR4,290,Once Were Warriors (1994),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
310,fWoyGukz1ag,313,"Swan Princess, The (1994)",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,mqTrjDsEg4g,314,"Secret of Roan Inish, The (1994)",0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
313,t067u2Jnks0,316,Stargate (1994),1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
339,JudjRVhIgns,343,"Baby-Sitters Club, The (1995)",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358,91607Aqn-mo,362,"Jungle Book, The (1994)",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
359,4sj1MT05lAA,363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
363,mQ69CVbCiow,367,"Mask, The (1994)",0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
369,fJJQ44fdDws,373,Red Rock West (1992),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
379,z_749VE-fMQ,383,Wyatt Earp (1994),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
388,iVzAMmpMra8,392,"Secret Adventures of Tom Thumb, The (1993)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389,LvftNKkVk2s,393,Street Fighter (1994),1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
393,kUn_S1M0JGQ,397,"Fear, The (1995)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
394,EvrELWjSxUU,398,Frank and Ollie (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
401,fitU66jq6GQ,405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
412,zOLyXi3uY84,416,Bad Girls (1994),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
418,3FC5zdcct9s,422,Blink (1994),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
428,IydM8H49MuA,432,City Slickers II: The Legend of Curly's Gold (1994),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
431,WDyOUl34M4c,435,Coneheads (1993),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
438,K_Q1VTuna-w,442,Demolition Man (1993),1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
449,N03Cy76Gxqs,453,For Love or Money (1993),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
453,3y3AdZBvURw,457,"Fugitive, The (1993)",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
464,R0SMJlFfBaU,468,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
480,niJhC06sv1g,484,Lassie (1994),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,23VHjFycsZk,485,Last Action Hero (1993),1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
486,MZAXZ24bAS8,490,Malice (1993),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
498,UG1rMcZDQxA,502,"Next Karate Kid, The (1994)",0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
536,8pnnGZUe14g,540,Sliver (1993),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
546,O6KCfmSKnD8,550,Threesome (1994),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
547,XTWYKf5hXIg,551,"Nightmare Before Christmas, The (1993)",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
558,xFTJ2FqLmH8,563,Germinal (1993),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
573,nx-auL6YHs8,579,"Escort, The (Scorta, La) (1993)",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
583,lQKs169Sl0I,589,Terminator 2: Judgment Day (1991),0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
589,jwE3TfJUB48,595,Beauty and the Beast (1991),0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
590,B3AqG25J_Vo,596,Pinocchio (1940),0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
592,SvvjIuAdGqw,598,Window to Paris (Okno v Parizh) (1994),0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
593,80QqYu6VB_Y,599,"Wild Bunch, The (1969)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
594,PUV9tNchhxg,600,Love and a .45 (1994),0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
596,HEOVV8Ce_m4,602,"Great Day in Harlem, A (1994)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
599,Xf0queXoB7c,605,One Fine Day (1996),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
603,eFdzFhVa7QY,609,Homeward Bound II: Lost in San Francisco (1996),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605,223bYlLJSnU,611,Hellraiser: Bloodline (1996),0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
610,z7tbO3dwri0,616,"Aristocats, The (1970)",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
616,gelUTgTwK1o,623,"Modern Affair, A (1995)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
624,lnymWvGgVUw,631,All Dogs Go to Heaven 2 (1996),1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
625,T1PDRMXmGqs,632,Land and Freedom (Tierra y libertad) (1995),0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
631,uKdoP5nSZQM,638,Jack and Sarah (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
644,5gy7eH8NwME,652,"301, 302 (301/302) (1995)",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
653,kCnABec7Rsk,661,James and the Giant Peach (1996),1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
654,do_9g3isO0c,662,Fear (1996),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
659,Ate7cFlz0aE,667,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
670,fSnJEZKCZ40,680,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0
671,hFHYI9wndWU,681,Coup de torchon (Clean Slate) (1981),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
696,RUMuL443Fwo,708,"Truth About Cats & Dogs, The (1996)",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
699,1neY_Zh5mIs,711,Flipper (1996),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
704,fnoD2p4aj9k,716,Switchblade Sisters (1975),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
706,6P_1oFBbKZ4,718,"Visitors, The (Visiteurs, Les) (1993)",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
720,KtmmI9JCCUo,732,Original Gangstas (1996),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
723,o-uGQYEN4jc,735,Cemetery Man (Dellamorte Dellamore) (1994),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
724,w-XNlXCof08,736,Twister (1996),1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
725,Tpt-0tdN734,737,Barb Wire (1996),0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
728,YX6mtTLHlkg,741,Ghost in the Shell (Kôkaku kidôtai) (1995),0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
733,LC-S0fTMY-M,746,Force of Evil (1948),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
737,xw5_jG15TM8,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
741,qAQRCcQlXXE,754,Gold Diggers: The Secret of Bear Mountain (1995),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
764,gGRJkaxndzg,777,Pharaoh's Army (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
775,ZsWPpq_AqDA,788,"Nutty Professor, The (1996)",0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
778,ecVhVN0QrIE,791,"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1994)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
779,8GfdemcL35A,792,"Hungarian Fairy Tale, A (Hol volt, hol nem volt) (1987)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
791,tS8_LX7Z5CI,804,She's the One (1996),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
795,5YBmnlAeijk,808,Alaska (1996),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
796,wN6BI7mEtKg,809,Fled (1996),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
797,mebIhXK8srA,810,Kazaam (1996),0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
801,XmqvTVuOzgA,815,Power 98 (1996),0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
825,-lucc4SIhaY,840,House Arrest (1996),0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
826,vs5F7bYgglQ,841,"Eyes Without a Face (Yeux sans visage, Les) (1959)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
843,f0RljhTvuSU,858,"Godfather, The (1972)",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
864,r7FBSFRUj6s,880,"Island of Dr. Moreau, The (1996)",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
871,EQxRNEATlO4,888,Land Before Time III: The Time of the Great Giving (1995),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
873,AOZuxReeNTk,890,Baton Rouge (Bâton rouge) (1988),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
877,H9eNwZWtAUU,894,Liebelei (1933),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
883,EgTClZWtRAA,900,"American in Paris, An (1951)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
887,LMDJnTKotxo,904,Rear Window (1954),0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
893,EQxXUmB7AEI,910,Some Like It Hot (1959),0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
896,jEofRODHZ1w,913,"Maltese Falcon, The (1941)",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
898,Ist_bZLP9u4,915,Sabrina (1954),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
901,uVpB6qJSgH4,918,Meet Me in St. Louis (1944),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
902,SxKoaIq6DcY,919,"Wizard of Oz, The (1939)",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
908,nSNJ-8ouQEM,925,Golden Earrings (1947),1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
913,avI86TPMJi4,930,Notorious (1946),0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
914,tgTmvdejvJk,931,Spellbound (1945),0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
920,o6oslqmdMj8,937,Love in the Afternoon (1957),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
921,t3ehZvLL2UE,938,Gigi (1958),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
924,LH906dKN3Kk,941,"Mark of Zorro, The (1940)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
925,Gnjv3ONSa9o,942,Laura (1944),0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
928,DSdd0FuSr78,945,Top Hat (1935),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
930,ebDVU2OjsSw,947,My Man Godfrey (1936),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
933,Vv0l8wdaB00,950,"Thin Man, The (1934)",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
935,1kzvOtFi_mY,952,Around the World in 80 Days (1956),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
946,OlhKvThSOBs,963,"Inspector General, The (1949)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
947,YlmiultezYA,964,Angel and the Badman (1947),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
949,NGCcCuY00OE,966,"Walk in the Sun, A (1945)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
950,U0tE1GkugR0,967,"Outlaw, The (1943)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
958,SBRFmU-3mf8,975,Something to Sing About (1937),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
959,MGQ5Nq7r-Ho,976,"Farewell to Arms, A (1932)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
960,_1OJoYCDw-g,977,Moonlight Murder (1936),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
962,GnS0_UTEayY,980,"Yes, Madam (a.k.a. Police Assassins) (a.k.a. In the Line of Duty 2) (Huang gu shi jie) (1985)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
965,KHoSXE9nIHg,983,Madagascar Skin (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
967,VfBzeLChAzw,985,Small Wonders (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
969,XVtLP5tfpCA,987,Bliss (1997),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
974,00bin2vxgGE,992,"Rich Man's Wife, The (1996)",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
980,ThOtoGV6ylU,999,2 Days in the Valley (1996),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
981,vksq7IsZFGg,1000,Curdled (1996),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
983,cXMvCTLIaqM,1002,Ed's Next Move (1996),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
988,LhV6BBvt8Vs,1007,"Apple Dumpling Gang, The (1975)",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
990,LuBu4eDXWg8,1009,Escape to Witch Mountain (1975),1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
991,2TQ-pOvI6Xo,1010,"Love Bug, The (1969)",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
994,zYldPxp5ho4,1013,"Parent Trap, The (1961)",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
998,v3HER2IPuV4,1017,Swiss Family Robinson (1960),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,yZXapOBN--0,1019,"20,000 Leagues Under the Sea (1954)",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1002,nm2QHKByRQQ,1021,Angels in the Outfield (1994),0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,GphH2Q8eUfY,1022,Cinderella (1950),0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
1004,nVgdtcNwIGQ,1023,Winnie the Pooh and the Blustery Day (1968),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1005,lMQLclxC7bU,1024,"Three Caballeros, The (1945)",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1006,pP6qc3sc4II,1025,"Sword in the Stone, The (1963)",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1010,sigcSoe45oE,1029,Dumbo (1941),0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1012,7gnBatEfLds,1031,Bedknobs and Broomsticks (1971),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1013,fpP6osQNMh0,1032,Alice in Wonderland (1951),1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1016,4Wf_o24AdOc,1035,"Sound of Music, The (1965)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1035,UiGY9JrZQSc,1055,Shadow Conspiracy (1997),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1041,pPi8EQzJ2Bg,1061,Sleepers (1996),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1044,DDE9kXwG0fs,1064,Aladdin and the King of Thieves (1996),0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
1045,FRxmK7Q3yF4,1065,Five Angles on Murder (1950),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1047,STPJVf6wqCk,1067,"Damsel in Distress, A (1937)",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1048,SJM_ArX1bDA,1068,Crossfire (1947),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1051,AhUhuDW_jOw,1071,For the Moment (1994),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1055,ilW32IKJoM0,1077,Sleeper (1973),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1057,1AfBwPrB4pM,1079,"Fish Called Wanda, A (1988)",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1064,1cvCn5T4Zac,1086,Dial M for Murder (1954),0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
1065,gOU5irEzdVM,1087,Madame Butterfly (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1078,ckvDo2JHB7o,1100,Days of Thunder (1990),0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
1079,dWNbttGsPcI,1101,Top Gun (1986),0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1083,_dzQJfTp8k4,1105,Children of the Corn IV: The Gathering (1996),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1084,co-VZiZNHfU,1106,"Leopard Son, The (1996)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1087,-PbKLzUTM9E,1110,Bird of Prey (1996),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1099,mINFj0hSweo,1122,Plutonium Circus (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1103,wPkVD4Ga35s,1126,Drop Dead Fred (1991),0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1105,aj_r4d8UWeU,1128,"Fog, The (1980)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1107,BTPZn-T3wZE,1130,"Howling, The (1980)",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1114,R8mK-_EPxdk,1137,Hustler White (1996),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1130,0Ellpw_5t84,1153,Raw Deal (1948),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1131,rxdQQpJ9t-4,1154,T-Men (1947),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1136,YZMhYYc87X8,1159,Love in Bloom (1935),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1145,OLNktcDs05Y,1168,Bad Moon (1996),1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1146,0ATYtmPVtjo,1169,American Dream (1990),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1147,OvebOqneLIU,1170,Best of the Best 3: No Turning Back (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1158,4vvJCg2JsIc,1181,"Shooter, The (1997)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
